Ameriflux QAQC information,,,,,,,,,,,,,,,,,,
"Extracted from variable ""FP_ls"" when running amf_chk_run.R/amfqaqc_main.R",,,,,,,,,,,,,,,,,,
Rosie Howard,,,,,,,,,,,,,,,,,,
12-Mar-25,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,Name,Description,Units,Min,Max,Max_buff,Min_buff,Range,N,Sites,q001.01,q001.min,q999.99,q999.max,IQR.01,IQR.min,IQR.99,IQR.max
80,REDCI,Red Edge Chlorophyll Index,nondimensional,0,10,10.5,-0.5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,REP,"Red Edge Position (Dash and Curran, 2004)",nm,400,800,820,380,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,RH,"Relative humidity, range 0-100",%,0,100,105,-5,100,560,393,0.00E+00,-3.00E+00,1.04E+02,1.07E+02,1.34E+01,11.2,49.753,53.1114785
83,RUNOFF,Run off,mm,0,200,210,-10,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,SAP_DT,Difference of probes temperature for sapflow measurements,deg C,-10,10,11,-11,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,SAP_FLOW,Sap flow,mmolH2O m-2 s-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,SB,Heat storage flux in biomass,W m-2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
87,SC,Carbon Dioxide (CO2) storage flux,µmolCO2 m-2 s-1,-100,100,110,-110,200,193,177,-3.49E+02,-5.21E+02,4.62E+12,4.53E+14,0.00E+00,0,6.5067133,10.840942
88,SCH4,Methane (CH4) storage flux,nmolCH4 m-2 s-1,NA,NA,NA,NA,NA,14,14,-2.21E+03,-2.44E+03,6.57E+02,6.81E+02,3.65E-01,0.354,6.59243,6.6967883
89,SG,Heat storage flux in the soil above the soil heat fluxes measurement,W m-2,-100,250,267.5,-117.5,350,25,13,-9.72E+01,-9.89E+01,2.39E+02,2.42E+02,1.28E+00,1.27,54.7877791,66.4929375
90,SH,Sensible heat (H) storage flux,W m-2,-150,150,165,-165,300,134,129,-1.34E+02,-1.95E+02,1.32E+02,3.95E+02,6.79E-01,0.3515,32.0162957,85.5044
91,SLE,Latent heat (LE) storage flux,W m-2,-150,150,165,-165,300,119,114,-7.81E+02,-5.39E+03,7.72E+02,5.45E+04,3.14E-01,0.267,26.1254043,47.902785
92,SN2O,Nitrous oxide (N2O) storage flux,nmolN2O m-2 s-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
93,SNO,Nitric oxide (NO) storage flux,nmolNO m-2 s-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
